
> enterprise-auth-backend@1.0.0 dev
> nodemon --exec "ts-node --transpile-only" src/server.ts

[33m[nodemon] 3.1.11[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): src\**\* prisma\**\*[39m
[33m[nodemon] watching extensions: ts,json[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[2026-06-02T16:39:11.560Z] GET /api/trainer/students
[2026-06-02T16:39:11.609Z] GET /api/trainer/enrollments
[2026-06-02T16:39:11.644Z] GET /api/trainer/enrollments
[2026-06-02T16:39:11.676Z] GET /api/trainer/students
[2026-06-02T16:39:16.087Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:39:16.093Z] GET /api/notifications/unread-count
[2026-06-02T16:39:20.479Z] OPTIONS /api/trainer/enrollments
[2026-06-02T16:39:20.484Z] OPTIONS /api/trainer/courses
[2026-06-02T16:39:20.488Z] OPTIONS /api/trainer/courses
[2026-06-02T16:39:20.502Z] GET /api/trainer/enrollments
[2026-06-02T16:39:20.510Z] GET /api/trainer/courses
[2026-06-02T16:39:20.553Z] GET /api/trainer/courses
[2026-06-02T16:39:20.661Z] GET /uploads/ChatGPT%20Image%20May%2010,%202026,%2002_18_26%20AM-1780274128206-852164338.png
[2026-06-02T16:39:20.666Z] GET /uploads/ChatGPT%20Image%2016%20%C3%99%C2%85%C3%98%C2%A7%C3%99%C2%8A%C3%99%C2%88%202026%C3%98%C2%8C%2003_57_12%20%C3%98%C2%B5-1780259728500-23728819.png
[2026-06-02T16:39:20.668Z] GET /uploads/134051042116388395-1779401802114-227957321.jpg
[2026-06-02T16:39:20.680Z] GET /uploads/ChatGPT%20Image%20May%2010,%202026,%2005_25_29%20AM-1779492818866-150938748.png
