2026-05-30 19:15:52.309 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.012 s, total=0.368 s; sync files=4, longest=0.004 s, average=0.003 s; distance=15 kB, estimate=27 kB; lsn=0/26B16D8, redo lsn=0/26B1680
2026-05-30 19:25:51.331 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 19:25:51.704 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.329 s, sync=0.012 s, total=0.374 s; sync files=4, longest=0.004 s, average=0.003 s; distance=15 kB, estimate=26 kB; lsn=0/26B53F8, redo lsn=0/26B53A0
2026-05-30 19:30:51.713 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 19:30:52.089 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.322 s, sync=0.011 s, total=0.376 s; sync files=4, longest=0.004 s, average=0.003 s; distance=15 kB, estimate=25 kB; lsn=0/26B9208, redo lsn=0/26B91B0
2026-05-30 19:40:51.099 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 19:40:51.458 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.327 s, sync=0.013 s, total=0.360 s; sync files=4, longest=0.005 s, average=0.004 s; distance=16 kB, estimate=24 kB; lsn=0/26BD378, redo lsn=0/26BD320
2026-05-30 19:45:51.472 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 19:45:51.845 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.012 s, total=0.374 s; sync files=4, longest=0.004 s, average=0.003 s; distance=12 kB, estimate=23 kB; lsn=0/26C03E8, redo lsn=0/26C0390
2026-05-30 22:28:46.747 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 22:28:47.728 +03 [14340] LOG:  checkpoint complete: wrote 8 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.877 s, sync=0.030 s, total=0.983 s; sync files=7, longest=0.006 s, average=0.005 s; distance=42 kB, estimate=42 kB; lsn=0/26CAFB0, redo lsn=0/26CAF58
2026-05-30 22:33:46.741 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 22:33:47.457 +03 [14340] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.682 s, sync=0.014 s, total=0.717 s; sync files=7, longest=0.003 s, average=0.002 s; distance=17 kB, estimate=40 kB; lsn=0/26CF4B8, redo lsn=0/26CF460
2026-05-30 22:43:46.478 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 22:43:48.748 +03 [14340] LOG:  checkpoint complete: wrote 20 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.184 s, sync=0.048 s, total=2.271 s; sync files=20, longest=0.005 s, average=0.003 s; distance=77 kB, estimate=77 kB; lsn=0/26E2B88, redo lsn=0/26E2B30
2026-05-30 22:48:46.772 +03 [14340] LOG:  checkpoint starting: time
